name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,injured games
Bernardo Espinosa,90.0,0.7159789288849868,0.17647058823529413,46.754216264777355,4.902365979366408,0.9411764705882352,2.1598913775853976,0.9180672268907564,0.06571553994732224,0.06571553994732224,0.01571553994732221,0.3924495171202809,0.08823529411764706,30.03916853100143,38.29240693153345,76.56470588235292,258.2705249402781,26.43722271970225,44.64291110404592,0.05882352941176471,0.08823529411764706,3
Bernardo Silva,90.0,2.6981210789464014,2.1495739947956007,96.73594478917984,22.762051706013136,1.6469326858249296,1.1596524769243457,1.6083304979239461,0.32008856409825936,0.30429909041404885,0.07126183562054067,4.209803816971025,0.7220649265019587,68.55446287515737,81.16936368733677,84.09473684210528,197.9704699515784,70.17012779818077,291.73570537787066,1.251244156836666,2.4984672198596307,0
Billy Ketkeophomphone,90.0,1.7096812241022026,0.981021697974322,67.11341158194969,21.383581435125844,4.482593133708752,1.7557246674893734,3.123495459425352,0.008763388510223956,0.008763388510223956,0.026290165530671858,1.4633882049857605,0.08763388510223953,33.95507695457677,45.426009891494544,75.7076923076923,91.97553948306894,43.232055439137646,143.17318759724319,1.0680620121912134,3.388796130393686,39
Birk Risa,90.0,0.7142857142857143,0.7142857142857143,29.642857142857146,23.214285714285715,2.5,0.0,2.5,0.07142857142857144,0.07142857142857144,0.0,1.4285714285714286,0.0,12.142857142857142,15.0,85.7,69.28571428571429,12.857142857142858,29.28571428571429,0.7142857142857143,1.4285714285714286,0
Blaise Matuidi,90.0,0.7430999251047148,0.19295244611700307,67.34694185068167,32.151428009600515,2.1807809957036706,1.1757800271313783,2.1236844610277203,0.07776534659873696,0.07776534659873696,0.040581954372760506,1.3243673740459665,0.15266617969320673,48.832048412966316,55.901012992133616,86.87837837837836,210.38746085500884,50.60206753368781,84.78606486769135,0.5087924167608749,0.9787506144453736,0
Blerim Dzemaili,90.0,1.2093114241001564,0.639866979655712,45.298452002336596,20.120453906233095,2.1335125448028682,1.3398617511520738,1.3418458781362006,0.11815336463223787,0.11815336463223787,0.03620892018779343,1.390845070422535,0.16666666666666666,26.875350670330228,34.422785818855786,75.88333333333333,122.06585390479077,32.431336225236734,109.10035752147293,0.6666666666666666,1.2222222222222223,0
Bobby Wood,90.0,2.241864613781645,0.4655530457220339,35.42276518217236,18.557944801391766,0.5780613984491111,0.17667748917748916,0.43740657493192986,0.3441702672733476,0.3052092283123087,0.12155106690585095,1.6321679177229818,0.09443300601837187,13.950852558598692,20.329578501382944,67.425,38.8129838452951,22.7744778846504,72.89272408235821,0.8751559492666701,1.7401728180490368,1
Bojan Krkic,90.0,1.447242876236901,0.8987734884817989,47.49501610054376,22.68654806592321,0.1834151382071816,0.6543921916592724,2.552559150750601,0.27946267114440715,0.27946267114440715,0.010204081632653062,1.5129298690253008,0.0,28.040570068004275,36.165784008159584,79.21428571428571,105.78874508087091,42.47835947833888,142.94347540011023,3.0625404953910933,3.2370825191351003,0
Bongani Zungu,90.0,0.3681318681318681,0.16483516483516486,56.49794252826735,16.08163377450486,1.890727654260459,1.508029757478055,2.147167935290904,0.013736263736263741,0.013736263736263741,0.02735042735042735,1.2278579577787725,0.0,38.524135951141524,46.98596385649578,81.9076923076923,214.3294800547073,39.146508833231394,110.7624239473558,0.7254646385876071,0.8408492539722225,0
Borja Herrera,90.0,0.3333333333333333,0.0,74.50537634408602,12.93548387096774,1.1505376344086022,1.1505376344086022,1.6666666666666667,0.0,0.0,0.0,0.6666666666666666,0.0,56.8494623655914,67.53763440860216,83.43333333333334,360.65591397849465,54.8494623655914,143.4516129032258,0.3333333333333333,1.3333333333333333,0
Borja Lasso,90.0,0.0,0.0,66.66666666666667,31.66666666666667,3.333333333333333,0.0,1.6666666666666667,0.0,0.0,0.16666666666666669,1.6666666666666667,0.0,41.66666666666667,58.33333333333334,71.4,128.33333333333334,48.33333333333334,103.33333333333334,0.0,0.0,7
