,name,Round,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
66,Joshua-Kimmich-,Group stage,90,1,0,97,5,2,1,0,0.0,0.0,0.7,7,0,78,91,85.7,287,80,198,0,1
67,Joshua-Kimmich-,,5079,26,9,2639,352,34,46,38,0.8,0.8,6.7,111,22,2014,2409,83.6,11794,1978,5932,25,43
68,Mats-Hummels-,DFL-Supercup,120,,,,,,,,,,,,,,,,,,,,
69,Mats-Hummels-,First round,90,1,1,,,,0,,,,,,,,,,,,,,
70,Mats-Hummels-,Matchweek 1,62,1,1,52,11,0,1,0,0.4,0.4,0.0,2,0,43,51,84.3,516,41,113,0,0
71,Mats-Hummels-,Matchweek 2,90,2,0,67,9,2,2,2,0.3,0.3,0.0,0,0,51,58,87.9,550,48,129,0,0
72,Mats-Hummels-,First round,90,,,,,,,,,,,,,,,,,,,,
73,Mats-Hummels-,First round,90,,,,,,,,,,,,,,,,,,,,
74,Mats-Hummels-,Matchweek 3,90,1,0,76,6,2,1,1,0.0,0.0,0.0,0,0,62,69,89.9,622,57,203,0,0
75,Mats-Hummels-,Group stage,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
76,Mats-Hummels-,Matchweek 4,90,0,0,91,8,2,3,2,0.0,0.0,0.0,2,0,79,87,90.8,704,73,278,0,0
77,Mats-Hummels-,Matchweek 5,13,0,0,13,1,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,121,11,31,0,0
78,Mats-Hummels-,Matchweek 6,90,1,0,96,7,1,1,0,0.1,0.1,0.0,0,0,82,92,89.1,588,78,342,0,0
