,0
David Timor,"['\xa0Red card suspension', 'not in squad', '\xa0Fractured Hand', '\xa0Fractured Hand', '\xa0Fractured Hand', '\xa0Fractured Hand', '\xa0Fractured Hand', '\xa0Fractured Hand', '\xa0Fractured Hand', '\xa0Fractured Hand', 'not in squad', 'not in squad', '\xa0Yellow card suspension', 'not in squad']"
Przemyslaw Tyton,"['not in squad', 'not in squad', 'not in squad', 'not in squad']"
Farid Boulaya,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Dani Castellano,"['\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Muscular problems', '\xa0Muscular problems', 'not in squad', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Ill']"
Sandro Ramírez,"['\xa0Thigh Problems', '\xa0Hamstring contusion', '\xa0Hamstring contusion', '\xa0Hamstring contusion', '\xa0Hamstring contusion', '\xa0Hamstring contusion', '\xa0Hamstring contusion', '\xa0Hamstring contusion', '\xa0Thigh Problems']"
Mario Hermoso,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Gustavo Cabral,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension']"
Choco Lozano,"['International match', 'International match', 'International match', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'International match', 'not in squad']"
Aldo One,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Axel Werner,[]
Gonzalo Villar,[]
Leo Baptistão,"['\xa0Muscular problems', '\xa0Muscular problems', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury', '\xa0Heel Bone Injury']"
Carlos Calderón,[]
Unai Simón,"['not in squad', 'With the pros', 'With the pros', 'With the pros', 'not in squad']"
Ángel Correa,['not in squad']
Willian José,"['\xa0Ankle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury']"
Enes Ünal,"['\xa0Red card suspension', '\xa0Groin Injury']"
Michael Olunga,"['not in squad', 'no information available', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Imanol García,"['With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'not in squad', '\xa0Ankle problems', '\xa0Ankle problems', '\xa0Ankle problems']"
Mateo Kovacic,"['not in squad', 'not in squad', '\xa0Ankle Injury', '\xa0Ankle Injury']"
Dani Vivian,[]
Cristian Rivero,[]
Mikel Oyarzabal,['\xa0Shoulder Injury']
Jaime Sierra,[]
Guido Pizarro,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Kiko Casilla,[]
Rubén Sobrino,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad']"
Esteban Rolón,"['not in squad', 'not in squad', 'not in squad', 'not in squad']"
Erick Cabaco,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Red card suspension', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Jordi Alba,"['\xa0Hamstring Injury', '\xa0Muscle Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Knee Problems', '\xa0Muscular problems']"
Toni Kroos,"['\xa0Hairline crack in the foot', 'not in squad', '\xa0Hairline crack in the foot', '\xa0Hairline crack in the foot', '\xa0Hairline crack in the foot', '\xa0Yellow card suspension', 'not in squad', 'not in squad', '\xa0Hairline crack in the foot']"
Toño,"['not in squad', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury']"
Álvaro Vázquez,"['\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Hamstring Injury']"
Erik Expósito,[]
Ximo Navarro,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Merveil Ndockyt,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Koke,"['\xa0Indirect card suspension', '\xa0Yellow card suspension', 'not in squad']"
Brais Méndez,"['not in squad', 'not in squad']"
Jon Ander Serantes,"['\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture']"
Christian Santos,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Alberto Ródenas,[]
Oscar Melendo,"['With the pros', 'With the pros', 'not in squad', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'not in squad', 'With the pros', 'With the pros', '\xa0Knee Injury', '\xa0Knee Injury', 'With the pros']"
Amath Ndiaye,"['\xa0Foot Injury', '\xa0Foot Injury', '\xa0Foot Injury', '\xa0Foot Injury', '\xa0Yellow card suspension']"
Mikel San José,"['\xa0Muscular problems', 'not in squad', '\xa0Back trouble', '\xa0Muscular problems', '\xa0Yellow card suspension', 'not in squad']"
Saúl García,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Stanislav Lobotka,"['not in squad', 'International match']"
