,0
James McArthur,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Nathaniel Clyne,"['not in squad', 'not in squad', 'not in squad', 'not in squad']"
Sam Field,"['not in squad', 'not in squad', 'not in squad', 'With the U21s', 'With the U21s', 'With the U21s', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the U21s']"
Claudio Bravo,"['\xa0Red card suspension', 'not in squad', 'not in squad', '\xa0Disrupted Calf Muscle', '\xa0Disrupted Calf Muscle', '\xa0Disrupted Calf Muscle', '\xa0Disrupted Calf Muscle', '\xa0Disrupted Calf Muscle', 'not in squad', 'not in squad']"
Carl Jenkinson,"['\xa0Torn Knee Ligament', '\xa0Torn Knee Ligament', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Torn Knee Ligament', '\xa0Torn Knee Ligament', '\xa0Torn Knee Ligament', '\xa0Torn Knee Ligament', '\xa0Torn Knee Ligament', '\xa0Torn Knee Ligament', '\xa0Torn Knee Ligament', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', '\xa0Torn Knee Ligament']"
Eliaquim Mangala,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension', '\xa0Red card suspension', '\xa0Yellow card suspension', '\xa0Muscle Injury']"
Connor Wickham,"['not in squad', 'not in squad', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture']"
Adam Legzdins,[]
Ilkay Gündogan,"['\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Dislocation of the patella', '\xa0Dislocation of the patella', '\xa0Dislocation of the patella', '\xa0Dislocation of the patella', '\xa0Dislocation of the patella', '\xa0Dislocation of the patella', 'not in squad', 'not in squad', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', 'not in squad']"
Joe Allen,"['\xa0Yellow card suspension', 'not in squad']"
Wayne Rooney,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Ankle Injury', '\xa0Thigh Muscle Strain', '\xa0Yellow card suspension', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', '\xa0Knee Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', 'not in squad', '\xa0Knee Injury', '\xa0Thigh Muscle Strain']"
Tom Cleverley,"['not in squad', 'not in squad', 'not in squad']"
Ryan Sweeney,"['With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad']"
