0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Iván Alejo,0,0,0, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,0,0,0,0,0,0, Muscular problems,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0
Jan Oblak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0
Fabián Orellana,0,not in squad,not in squad,not in squad,not in squad,not in squad, Unknown Injury,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0, Indirect card suspension,0,0, Hamstring Injury, Hamstring Injury,0,0,0,not in squad,0,0,0,0,0
Antoine Griezmann,0, Red card suspension, Red card suspension,0,0,0,0,0,0,0,0,0,0,0, Knock,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,not in squad,0,0,0
Sergio Mora,0,0,0,0,0,0,0,not in squad,0,0,0,0,0, Muscle Injury, Muscle Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0
Lucas Vázquez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario González,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ángel López,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gareth Bale,0,0,0,0,0,0, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Pulled hamstring at the adductors, Pulled hamstring at the adductors, Calf Problems, Calf Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0, Yellow card suspension,0,0,0,0
Antonio Barragán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Muscle Injury, Muscle Injury,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,not in squad
Mikel Rico,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0, Muscular problems, Muscular problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0, Muscle Injury
José Manuel Arnáiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Soriano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iñaki Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keko, Calf Injury, Calf Injury,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Muscular problems, Muscular problems, Muscular problems, Muscular problems,0,not in squad,0,not in squad,0,0, Muscular problems,0,0,0
Esteban Granero,0,0,not in squad,0,not in squad,0,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0
José Giménez,0,0,0, Muscular problems,0,not in squad,0,0,0,0,0,0,0,0,0, Muscular problems, Muscular problems,0,0,0,0,0,0,0,0,0,0,0,0, Ankle Injury, Ankle Injury,0,0,0, Yellow card suspension,0,0,0
Sergio Araujo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Hernández,0,0,0,0,0,0, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0, Hamstring Injury
Pablo Sarabia,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Indirect card suspension,0,0,0, Yellow card suspension,0,0,0,0
