0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Sven Bender,0,0,0,0,0,0,0,0,0,0,0, Fractured Rib, Fractured Rib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Calf muscle strain, Calf muscle strain,0
Jérôme Boateng, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Cold,0,0,0,0,0,not in squad,0, Hamstring Injury, Hamstring Injury, Hamstring Injury
Kenan Karaman,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0,not in squad,not in squad,0,0,0,0,0, Ill
Niklas Schmidt,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team, Red card suspension, Red card suspension, Red card suspension, Red card suspension, Red card suspension,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team
Ole Käuper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery, Foot surgery
Fabian Johnson, Back trouble,0,0,0,0,0,0,0,0,0,0,0,0,0, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble,0, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble, Back trouble
Tim Handwerker,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad, Hand fracture,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,0,0,not in squad,not in squad
Johannes Eggestein,0,0,not in squad,not in squad,0,0,0,0,0,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,0,not in squad,0,With the 2nd team,0,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,0,0,0,0,0,0
Vladimir Darida,0,0,0,0,0,0,0,0, Stretched Ligament, Stretched Ligament, Stretched Ligament, Stretched Ligament, Arthroscopie, Arthroscopie, Arthroscopie, Arthroscopie, Arthroscopie,0,0,0,0,0,0,0, Toe Injury,0,0,0,0,0,0,0,0,0
Peter Pekarik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konrad Laimer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Minor Knock,0, Adductor problems,0,0, Torn Muscle, Torn Muscle, Torn Muscle, Torn Muscle,0,0
