,0
Stiven Mendoza,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension', 'not in squad', 'not in squad']"
Danilo Avelar,"['\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With U19', 'not in squad', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', 'With U19', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With U19', 'not in squad', '\xa0Cruciate Ligament Rupture', 'not in squad', '\xa0Muscle Injury']"
Karl Toko Ekambi,"['not in squad', 'International match', 'International match', 'International match', 'International match', 'International match', 'not in squad', 'not in squad', 'International match', 'not in squad', 'not in squad']"
Florent Mollet,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Christopher Jullien,"['not in squad', 'not in squad', 'not in squad', 'not in squad']"
Kenny Lala,"['not in squad', 'not in squad']"
Lucas Tousart,"['not in squad', 'not in squad', 'not in squad', 'International match', 'not in squad']"
Brice Samba,"['not in squad', 'not in squad']"
Samuel Grandsir,"['\xa0Red card suspension', 'not in squad', '\xa0Red card suspension', '\xa0Red card suspension', 'not in squad', 'not in squad']"
Rémy Vercoutre,"['not in squad', 'not in squad', 'not in squad', 'not in squad']"
Somália,"['\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Danijel Milicevic,"['\xa0Knee Injury', '\xa0Knee Injury', 'not in squad', 'not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury']"
