,0
Tom Starke,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team']"
Dennis Smarsch,['not in squad']
Fabian Benko,"['With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team']"
Zlatko Junuzovic,"['\xa0Facial Injury', '\xa0Calf Problems', '\xa0Influenza', '\xa0Yellow card suspension']"
Max Besuschkow,"['not in squad', '\xa0Knock', '\xa0Knock', '\xa0Knock', '\xa0Knock', 'not in squad', 'not in squad', '\xa0Knock', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Douglas Santos,['not in squad']
Robert Bauer,"['\xa0Torn ankle ligament', '\xa0Torn ankle ligament', '\xa0Yellow card suspension', 'Olympic games']"
Pirmin Schwegler,"['\xa0Medial Collateral Ligament Knee Injury', '\xa0Medial Collateral Ligament Knee Injury', '\xa0Medial Collateral Ligament Knee Injury', '\xa0Medial Collateral Ligament Knee Injury', '\xa0Medial Collateral Ligament Knee Injury', '\xa0Medial Collateral Ligament Knee Injury', '\xa0Medial Collateral Ligament Knee Injury', '\xa0Medial Collateral Ligament Knee Injury', '\xa0Medial Collateral Ligament Knee Injury', '\xa0Fitness', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Medial Collateral Ligament Knee Injury']"
Oliver Baumann,[]
Maurice Malone,[]
Michael Zetterer,"['With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', '\xa0Hip Injury', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', '\xa0Tear in a joint capsule']"
Marcel Halstenberg,"['not in squad', 'not in squad']"
Marcin Kaminski,"['not in squad', 'With the 2nd team', 'With the 2nd team', '\xa0Indirect card suspension']"
Marco Russ,"['\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Surgery', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', 'not in squad', '\xa0Surgery', '\xa0Surgery', '\xa0Fitness']"
Tobias Sippel,[]
Sebastian Rode,"['\xa0Appendectomy', 'not in squad', '\xa0Knock', '\xa0Knock', '\xa0Fitness', '\xa0Fitness', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Groin Surgery', '\xa0Groin Surgery', '\xa0Torn muscle bundle']"
Salomon Kalou,"['\xa0Back trouble', '\xa0Back trouble', '\xa0Back trouble', 'International match']"
Davie Selke,['International match']
Jeffrey Gouweleeuw,"['\xa0Collapsed Lung', '\xa0Collapsed Lung', '\xa0Collapsed Lung', '\xa0Collapsed Lung', '\xa0Collapsed Lung', '\xa0Collapsed Lung', '\xa0Collapsed Lung', '\xa0Collapsed Lung', '\xa0Back trouble', '\xa0Back trouble', '\xa0Back trouble', '\xa0Back trouble', '\xa0capsular tear', '\xa0capsular tear', '\xa0capsular tear', '\xa0capsular tear', '\xa0Collapsed Lung']"
Nuri Sahin,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Cervical spine injury', 'not in squad', '\xa0Abdominal Influenza', 'not in squad', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', 'not in squad', '\xa0Ruptured ankle aigament', '\xa0Ruptured ankle aigament', '\xa0Ruptured ankle aigament', 'not in squad', 'not in squad', '\xa0Knee Problems', '\xa0Fitness', '\xa0Fitness', 'not in squad', '\xa0Fitness', '\xa0Ruptured ankle aigament', 'not in squad', 'not in squad']"
Andreas Hirzel,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', '\xa0Torn Muscle Fibre', 'not in squad', 'not in squad']"
André Ramalho,"['not in squad', 'not in squad', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Fitness', 'not in squad', 'not in squad', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Calf Injury', '\xa0Fitness']"
Niko Bungert,"['\xa0Muscle Injury', 'not in squad', '\xa0Abdominal Influenza', '\xa0Abdominal Influenza', 'not in squad', 'not in squad', 'not in squad']"
Anastasios Donis,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Nikolas Nartey,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Franco Di Santo,"['not in squad', 'not in squad', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Groin Injury', 'not in squad', 'not in squad', 'not in squad', '\xa0Groin Injury', '\xa0Groin Injury', '\xa0Fitness']"
Benno Schmitz,[]
Chadrac Akolo,['\xa0Knock']
Robin Quaison,"['not in squad', 'not in squad', 'not in squad', '\xa0Dead Leg', '\xa0Biceps femoris muscle injury', '\xa0Biceps femoris muscle injury', '\xa0Biceps femoris muscle injury', '\xa0Biceps femoris muscle injury', '\xa0Biceps femoris muscle injury', 'Olympic games']"
Eugen Polanski,"['not in squad', 'not in squad']"
Dominic Maroh,"['\xa0Fractured Rib', '\xa0Fractured Rib', '\xa0Fractured Rib', '\xa0Fractured Rib', '\xa0Fractured Rib', '\xa0Fractured Rib', '\xa0Collarbone fracture', '\xa0Collarbone fracture', '\xa0Collarbone fracture', '\xa0Collarbone fracture', '\xa0Collarbone fracture', '\xa0Collarbone fracture']"
Maximilian Waack,"['not in squad', '\xa0Yellow card suspension', 'not in squad', 'not in squad']"
Pawel Olkowski,"['not in squad', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', 'not in squad', 'not in squad']"
Sinan Kurt,"['not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', '\xa0Ankle Surgery', '\xa0Ankle Surgery', '\xa0Ankle Surgery', '\xa0Ankle Surgery', '\xa0Ankle Surgery', '\xa0Ankle Surgery', '\xa0Ankle Surgery', '\xa0Ankle Surgery', '\xa0Ankle Surgery', '\xa0Ankle problems', '\xa0Ankle problems', '\xa0Ankle problems', '\xa0Ankle problems', '\xa0Ankle problems', '\xa0Ankle problems', '\xa0Ankle problems', '\xa0Fitness', 'not in squad', 'With the 2nd team', '\xa0Ankle Surgery', 'not in squad', 'not in squad']"
Dominik Kohr,"['\xa0Flesh Wound', '\xa0Flesh Wound', '\xa0Flesh Wound', 'not in squad', '\xa0Indirect card suspension', '\xa0Yellow card suspension', '\xa0Yellow card suspension']"
Timo Baumgartl,"['\xa0Pubis bone contusion', '\xa0Pubis bone contusion', '\xa0Pubis bone contusion', 'not in squad', '\xa0Red card suspension', '\xa0Pubis bone contusion']"
Josip Elez,[]
Tobias Strobl,"['\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0torn tendon', '\xa0torn tendon', '\xa0torn tendon', '\xa0Yellow card suspension', '\xa0Indirect card suspension', '\xa0Torn Muscle Fibre', '\xa0torn tendon']"
