,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,injuries,injured games
24,Cameron Carter-Vickers,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', 'not in squad', 'not in squad', 'not in squad', 'International match', 'With the 2nd team', '\xa0Knee Injury']",4
25,Arthur Masuaku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Red card suspension, Red card suspension, Red card suspension, Red card suspension, Red card suspension, Red card suspension,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Foot Injury', 'not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury']",22
26,Eldin Jakupovic,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,0,0,0,0,With the 2nd team,0,0,0,0,"['not in squad', 'not in squad', 'not in squad']",0
27,Kane Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
28,Ainsley Maitland-Niles,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,0,0,0,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0,0,0,"['With the pros', 'With the pros', 'With the pros', 'not in squad', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'not in squad']",0
29,Michael Collins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
30,Massadio Haidara,not in squad,not in squad,not in squad, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,"['\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury']",31
31,Jamie Murphy,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
32,Ryan Sweeney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad']",0
33,Alexandre Lacazette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Knee Injury, Knee Injury, Knee Injury,not in squad,0,0,0,0,not in squad,0,0,"['\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', 'not in squad', '\xa0Thigh Problems', '\xa0Thigh Problems', 'not in squad']",8
34,Jon Gorenc-Stankovic, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury']",12
