0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Harvey Barnes,not in squad,,,,,,,,,,,,,,,,,,,,,With the pros,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,,not in squad,not in squad,,,,,
Gareth Barry,not in squad,,,,,,,,,,,,,,,not in squad,not in squad,,,,,,,,,,,, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury
Kyle Bartley,,, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee, Ruptured intraarticular ligament initiation in knee,,,,,,,,,, Knee Injury,,,,, Knee Injury, Knee Injury, Knee Injury
Michy Batshuayi,,,,,,,,,,,, Ankle Injury, Ankle Injury, Ankle Injury,,,,,,,,,,,not in squad,,,,,,,,,,,,,
Moritz Bauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Bednarek,,,not in squad,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,not in squad,With the U21s,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,,,,,not in squad,not in squad,not in squad,,,,,not in squad,not in squad,,,,,not in squad
Asmir Begovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Héctor Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,not in squad,,, Yellow card suspension,,,,
Yohan Benalouane,not in squad,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,,not in squad,not in squad,,,,,,not in squad,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,,
Christian Benteke,,,,,,, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury, Medial Collateral Ligament Injury,,,,,,,, Yellow card suspension,,,,,,,,,,,,,,not in squad,,,,,
Saido Berahino,,,,,,,,,,,,,not in squad,,,,,,,,,,not in squad,not in squad,,,,not in squad,With the 2nd team,not in squad,,,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad
Johann Berg Gudmundsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International match,not in squad,,,,,
Ryan Bertrand,,,,,,,,,,,,,,,,,,, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,,,,,,,,,,
Muhamed Besic,,,,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,,With the U21s,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,
Krystian Bielik,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,
Philip Billing,,,,,,,,, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery,not in squad,,,,not in squad,,not in squad,,,,,,,,
Jamal Blackman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daley Blind,,,,,not in squad,,,,,,,not in squad,not in squad,not in squad,,not in squad,,not in squad,not in squad,,,,not in squad, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury,, Ankle Injury, Ankle Injury, Ankle Injury,,not in squad,not in squad,
Jeremie Boga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ádám Bogdán, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture
Yannick Bolasie, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture,With the U21s,not in squad,,,,,,,,,,,,,,,,,,,,
Gaëtan Bong,not in squad,,not in squad,not in squad,not in squad,not in squad,,,,,,,,not in squad,,not in squad,,,not in squad,not in squad,,not in squad,,not in squad,,,,,,,,,,,,,,
Wilfried Bony,not in squad,not in squad,not in squad,,,,, Thigh Problems, Thigh Problems, Thigh Problems, Thigh Problems,,,,,,,,not in squad,not in squad,not in squad,not in squad,,,,, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury
Cameron Borthwick-Jackson,,,,,,,,,,,,,,,,,,,,,,,,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad
Artur Boruc,,,,,,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofiane Boufal,,,,,,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,not in squad,not in squad,not in squad,not in squad
