,Press_int,Tackles,Interceptions,Blocks_int,Completed Passes,Attempted Passes,Distance Passes,Carries_int,Distance Carries,0
9246,7.0,0.0,3.0,2.0,18.0,33.0,157.0,20.0,48.0,False
9249,6.0,1.0,2.0,1.0,13.0,24.0,145.0,10.0,42.0,False
9251,10.0,0.0,1.0,1.0,42.0,58.0,186.0,33.0,86.0,False
9252,5.0,0.0,1.0,2.0,47.0,71.0,314.0,45.0,121.0,False
9253,10.0,0.0,1.0,2.0,46.0,52.0,159.0,42.0,177.0,False
9254,2.0,0.0,0.0,0.0,12.0,15.0,141.0,11.0,35.0,False
9255,13.0,1.0,1.0,2.0,49.0,72.0,346.0,48.0,223.0,False
9256,4.0,2.0,1.0,1.0,17.0,26.0,174.0,7.0,17.0,False
9257,2.0,2.0,2.0,0.0,41.0,51.0,328.0,38.0,123.0,False
9258,2.0,1.0,1.0,0.0,21.0,29.0,113.0,21.0,80.0,False
9261,20.0,1.0,0.0,1.0,25.0,29.0,294.0,19.0,88.0,False
9262,5.0,0.0,0.0,1.0,11.0,21.0,65.0,14.0,21.0,False
9266,12.0,1.0,1.0,2.0,33.0,51.0,298.0,31.0,30.0,False
9269,11.0,1.0,0.0,1.0,15.0,28.0,119.0,11.0,35.0,False
9271,6.0,1.0,1.0,4.0,23.0,42.0,293.0,20.0,41.0,False
9273,3.0,0.0,2.0,0.0,21.0,26.0,133.0,18.0,28.0,False
9274,3.0,1.0,2.0,0.0,26.0,33.0,207.0,17.0,25.0,False
9275,1.0,2.0,3.0,1.0,34.0,43.0,286.0,33.0,108.0,False
9276,7.0,2.0,3.0,2.0,30.0,35.0,197.0,24.0,58.0,False
9277,4.0,2.0,3.0,2.0,27.0,33.0,204.0,28.0,83.0,False
9278,2.0,1.0,2.0,1.0,48.0,56.0,302.0,41.0,145.0,False
9279,7.0,3.0,0.0,1.0,47.0,54.0,287.0,43.0,130.0,False
9280,6.0,1.0,3.0,0.0,46.0,54.0,201.0,43.0,81.0,False
9281,9.0,3.0,3.0,3.0,31.0,38.0,226.0,23.0,88.0,False
9282,1.0,1.0,0.0,0.0,12.0,12.0,84.0,9.0,5.0,True
9284,1.0,0.0,0.0,0.0,20.0,25.0,191.0,15.0,67.0,False
9286,5.0,2.0,1.0,3.0,24.0,28.0,279.0,25.0,51.0,False
9287,7.0,3.0,1.0,4.0,18.0,28.0,149.0,10.0,18.0,False
9288,3.0,1.0,4.0,2.0,38.0,47.0,289.0,32.0,67.0,False
9289,1.0,1.0,1.0,1.0,27.0,31.0,248.0,20.0,60.0,False
9290,4.0,0.0,2.0,2.0,31.0,37.0,213.0,23.0,24.0,False
9291,0.0,0.0,2.0,1.0,38.0,43.0,426.0,30.0,111.0,False
9292,12.0,1.0,2.0,3.0,38.0,51.0,484.0,32.0,92.0,False
9293,2.0,1.0,0.0,1.0,52.0,63.0,525.0,51.0,247.0,False
9294,7.0,2.0,0.0,1.0,8.0,17.0,28.0,15.0,48.0,False
9295,42.0,2.0,0.0,1.0,18.0,23.0,76.0,31.0,92.0,False
9296,15.0,0.0,0.0,2.0,29.0,33.0,144.0,41.0,137.0,False
9297,21.0,1.0,0.0,1.0,28.0,37.0,198.0,49.0,341.0,False
9298,29.0,3.0,1.0,1.0,25.0,35.0,126.0,39.0,148.0,False
9299,31.0,1.0,1.0,2.0,24.0,33.0,140.0,25.0,130.0,False
9300,13.0,3.0,2.0,3.0,33.0,43.0,129.0,44.0,225.0,False
9301,5.0,1.0,1.0,1.0,25.0,38.0,119.0,51.0,313.0,False
9302,3.0,1.0,0.0,1.0,29.0,37.0,101.0,41.0,293.0,False
9303,13.0,0.0,0.0,0.0,23.0,39.0,150.0,39.0,159.0,False
9304,18.0,0.0,0.0,2.0,11.0,17.0,50.0,23.0,132.0,False
9305,12.0,1.0,2.0,0.0,37.0,49.0,120.0,43.0,132.0,False
9306,35.0,2.0,0.0,0.0,25.0,35.0,91.0,36.0,134.0,False
9307,17.0,0.0,0.0,6.0,12.0,24.0,110.0,27.0,134.0,False
9308,10.0,1.0,0.0,0.0,22.0,38.0,203.0,27.0,60.0,False
9309,17.0,0.0,1.0,2.0,18.0,33.0,158.0,32.0,118.0,False
9310,6.0,1.0,2.0,0.0,11.0,18.0,7.0,24.0,58.0,False
9311,11.0,2.0,1.0,0.0,25.0,44.0,165.0,40.0,167.0,False
9312,9.0,0.0,1.0,1.0,30.0,37.0,81.0,46.0,220.0,False
9313,18.0,2.0,3.0,1.0,19.0,29.0,123.0,23.0,160.0,False
9314,49.0,1.0,0.0,2.0,10.0,17.0,86.0,16.0,73.0,False
9315,2.0,1.0,2.0,4.0,27.0,37.0,221.0,30.0,166.0,False
9317,15.0,0.0,1.0,0.0,30.0,39.0,155.0,48.0,229.0,False
9318,20.0,1.0,0.0,0.0,24.0,35.0,49.0,29.0,120.0,False
9319,10.0,0.0,0.0,2.0,26.0,38.0,76.0,46.0,163.0,False
9320,25.0,1.0,2.0,2.0,12.0,21.0,87.0,25.0,184.0,False
9321,7.0,4.0,2.0,2.0,19.0,30.0,156.0,34.0,213.0,False
9322,13.0,1.0,1.0,4.0,15.0,20.0,25.0,21.0,69.0,False
9323,9.0,1.0,4.0,3.0,27.0,38.0,190.0,40.0,101.0,False
9324,21.0,3.0,0.0,1.0,15.0,25.0,40.0,22.0,156.0,False
9325,9.0,0.0,1.0,2.0,35.0,46.0,167.0,48.0,298.0,False
9326,24.0,0.0,2.0,4.0,19.0,25.0,69.0,25.0,79.0,False
9327,6.0,2.0,0.0,1.0,16.0,25.0,86.0,31.0,97.0,False
9328,14.0,2.0,0.0,0.0,36.0,48.0,193.0,33.0,188.0,False
9329,12.0,0.0,0.0,0.0,25.0,38.0,73.0,38.0,188.0,False
9330,10.0,3.0,2.0,2.0,45.0,55.0,168.0,46.0,229.0,False
9331,6.0,0.0,0.0,3.0,3.0,3.0,8.0,6.0,10.0,True
9332,5.0,0.0,1.0,0.0,12.0,13.0,57.0,8.0,25.0,False
9333,1.0,0.0,0.0,1.0,7.0,11.0,44.0,16.0,60.0,False
9334,10.0,1.0,0.0,0.0,14.0,18.0,30.0,19.0,33.0,False
9335,3.0,2.0,0.0,0.0,38.0,42.0,92.0,38.0,207.0,False
9336,11.0,1.0,1.0,0.0,26.0,32.0,56.0,34.0,94.0,True
9337,3.0,0.0,0.0,0.0,13.0,14.0,40.0,13.0,20.0,False
9338,0.0,0.0,0.0,0.0,7.0,9.0,32.0,7.0,30.0,False
9339,5.0,0.0,0.0,0.0,21.0,23.0,112.0,23.0,138.0,False
9340,21.0,0.0,0.0,2.0,13.0,18.0,26.0,22.0,44.0,False
9341,4.0,0.0,1.0,1.0,14.0,17.0,37.0,12.0,51.0,False
9342,13.0,0.0,0.0,1.0,7.0,10.0,35.0,10.0,23.0,False
9343,14.0,0.0,1.0,1.0,41.0,46.0,220.0,44.0,146.0,False
9344,8.0,0.0,0.0,0.0,25.0,29.0,108.0,33.0,157.0,False
9345,4.0,2.0,2.0,0.0,10.0,14.0,47.0,16.0,75.0,False
9346,4.0,0.0,0.0,2.0,1.0,2.0,13.0,2.0,12.0,False
9347,20.0,1.0,0.0,0.0,11.0,12.0,38.0,13.0,60.0,False
9348,6.0,2.0,0.0,1.0,34.0,39.0,262.0,29.0,136.0,False
9349,10.0,0.0,0.0,1.0,9.0,18.0,37.0,15.0,126.0,False
9350,4.0,0.0,0.0,0.0,6.0,9.0,48.0,5.0,17.0,False
9351,5.0,0.0,0.0,1.0,4.0,5.0,13.0,9.0,33.0,False
9352,1.0,0.0,0.0,0.0,22.0,28.0,81.0,28.0,134.0,False
9353,8.0,0.0,0.0,0.0,15.0,19.0,157.0,21.0,79.0,False
9354,21.0,0.0,1.0,2.0,26.0,32.0,76.0,28.0,103.0,False
9355,3.0,0.0,0.0,1.0,18.0,24.0,97.0,27.0,101.0,False
9356,3.0,0.0,2.0,0.0,33.0,39.0,101.0,40.0,192.0,False
9357,13.0,0.0,1.0,2.0,29.0,34.0,133.0,34.0,139.0,False
9358,7.0,0.0,0.0,2.0,30.0,42.0,259.0,38.0,181.0,False
9359,9.0,0.0,0.0,2.0,34.0,45.0,157.0,40.0,99.0,False
9360,4.0,0.0,0.0,1.0,13.0,19.0,106.0,26.0,88.0,False
9361,10.0,0.0,0.0,2.0,26.0,27.0,84.0,24.0,110.0,False
9362,13.0,0.0,2.0,1.0,40.0,44.0,141.0,46.0,164.0,False
9363,1.0,0.0,1.0,1.0,50.0,53.0,345.0,35.0,163.0,False
9364,4.0,1.0,1.0,1.0,26.0,31.0,157.0,21.0,70.0,False
9365,9.0,2.0,2.0,1.0,22.0,27.0,108.0,22.0,65.0,False
9366,7.0,1.0,1.0,2.0,26.0,40.0,175.0,26.0,131.0,False
9367,2.0,1.0,3.0,0.0,36.0,42.0,349.0,23.0,58.0,False
9368,0.0,0.0,2.0,1.0,3.0,5.0,9.0,2.0,5.0,False
9369,13.0,3.0,4.0,0.0,15.0,27.0,79.0,19.0,16.0,False
9370,10.0,2.0,2.0,0.0,41.0,50.0,340.0,37.0,186.0,False
9371,9.0,0.0,0.0,2.0,36.0,40.0,131.0,29.0,99.0,False
9372,7.0,0.0,3.0,4.0,22.0,26.0,189.0,23.0,56.0,False
9373,8.0,3.0,2.0,1.0,36.0,43.0,184.0,33.0,206.0,False
9374,5.0,0.0,1.0,2.0,42.0,52.0,598.0,29.0,229.0,False
9375,5.0,1.0,2.0,2.0,33.0,40.0,267.0,27.0,188.0,False
9376,8.0,1.0,4.0,0.0,19.0,31.0,127.0,13.0,19.0,False
9377,8.0,2.0,1.0,0.0,33.0,38.0,320.0,30.0,166.0,False
9378,6.0,1.0,3.0,0.0,44.0,53.0,367.0,34.0,144.0,False
9379,6.0,0.0,0.0,0.0,27.0,31.0,165.0,18.0,84.0,False
9380,0.0,0.0,1.0,0.0,18.0,24.0,149.0,18.0,29.0,False
9381,3.0,0.0,1.0,1.0,32.0,40.0,259.0,26.0,137.0,False
9382,2.0,1.0,2.0,4.0,19.0,33.0,197.0,16.0,54.0,False
9383,5.0,0.0,3.0,2.0,13.0,21.0,140.0,13.0,68.0,False
9384,6.0,2.0,3.0,4.0,46.0,52.0,270.0,40.0,105.0,False
9385,13.0,2.0,1.0,1.0,39.0,54.0,341.0,28.0,71.0,False
9386,4.0,0.0,2.0,3.0,26.0,37.0,156.0,25.0,88.0,False
9387,6.0,0.0,4.0,1.0,15.0,20.0,131.0,18.0,67.0,False
9388,9.0,1.0,3.0,1.0,39.0,45.0,474.0,28.0,97.0,False
9389,5.0,1.0,0.0,0.0,6.0,9.0,15.0,5.0,3.0,False
9390,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,False
9392,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,False
9394,16.0,0.0,0.0,1.0,14.0,17.0,16.0,24.0,93.0,False
9395,15.0,0.0,0.0,0.0,17.0,20.0,74.0,30.0,86.0,False
9396,26.0,0.0,0.0,0.0,14.0,16.0,16.0,20.0,105.0,False
9397,19.0,1.0,0.0,0.0,7.0,14.0,8.0,23.0,55.0,False
9398,19.0,0.0,0.0,0.0,9.0,14.0,54.0,21.0,97.0,False
9399,17.0,0.0,0.0,0.0,10.0,11.0,4.0,18.0,34.0,False
9400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,False
9401,27.0,2.0,0.0,0.0,23.0,29.0,67.0,32.0,52.0,False
9402,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
9403,25.0,0.0,1.0,0.0,19.0,23.0,54.0,35.0,97.0,False
9404,23.0,0.0,1.0,0.0,23.0,24.0,53.0,29.0,115.0,False
9405,12.0,0.0,1.0,0.0,8.0,15.0,7.0,19.0,82.0,False
9406,7.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,14.0,False
9407,26.0,0.0,0.0,1.0,18.0,23.0,103.0,33.0,26.0,False
9408,5.0,0.0,0.0,1.0,14.0,18.0,47.0,32.0,114.0,False
9409,17.0,1.0,0.0,0.0,13.0,20.0,10.0,19.0,52.0,False
9410,16.0,0.0,0.0,1.0,9.0,11.0,8.0,16.0,31.0,False
9411,0.0,0.0,0.0,0.0,4.0,4.0,17.0,7.0,21.0,False
9412,19.0,1.0,0.0,0.0,15.0,20.0,15.0,19.0,34.0,False
9413,24.0,0.0,0.0,3.0,17.0,22.0,10.0,27.0,49.0,False
9414,11.0,0.0,0.0,0.0,11.0,17.0,0.0,17.0,41.0,False
9415,8.0,0.0,0.0,0.0,7.0,7.0,37.0,10.0,5.0,False
9416,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,False
9417,1.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,3.0,False
9418,9.0,0.0,0.0,0.0,4.0,5.0,10.0,5.0,4.0,False
9419,4.0,0.0,0.0,0.0,5.0,5.0,6.0,13.0,65.0,False
9420,10.0,0.0,0.0,1.0,3.0,4.0,9.0,4.0,8.0,False
9421,25.0,1.0,0.0,1.0,9.0,15.0,32.0,24.0,70.0,False
9422,7.0,0.0,0.0,0.0,3.0,6.0,6.0,13.0,46.0,False
9423,17.0,0.0,0.0,1.0,12.0,20.0,49.0,16.0,121.0,False
9424,3.0,0.0,0.0,1.0,7.0,8.0,46.0,6.0,16.0,True
9426,7.0,1.0,0.0,1.0,17.0,21.0,33.0,24.0,37.0,False
9427,1.0,1.0,0.0,0.0,3.0,4.0,18.0,3.0,5.0,False
9428,2.0,0.0,0.0,0.0,5.0,5.0,1.0,6.0,21.0,False
9429,4.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,False
9430,2.0,0.0,0.0,0.0,4.0,6.0,4.0,6.0,23.0,False
9431,2.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,False
9432,1.0,1.0,0.0,0.0,1.0,1.0,32.0,1.0,6.0,False
9433,1.0,0.0,0.0,1.0,1.0,6.0,0.0,5.0,1.0,False
9434,8.0,0.0,0.0,1.0,21.0,30.0,95.0,30.0,121.0,False
9435,13.0,2.0,3.0,3.0,18.0,29.0,75.0,28.0,59.0,False
9437,1.0,0.0,0.0,0.0,6.0,7.0,49.0,6.0,84.0,True
9438,2.0,0.0,0.0,0.0,1.0,2.0,18.0,1.0,0.0,False
9440,7.0,0.0,1.0,1.0,36.0,41.0,255.0,37.0,202.0,False
9441,17.0,2.0,3.0,1.0,46.0,68.0,268.0,41.0,65.0,False
9442,48.0,1.0,1.0,2.0,44.0,50.0,262.0,40.0,29.0,False
9443,19.0,1.0,2.0,2.0,11.0,16.0,83.0,9.0,19.0,False
9444,22.0,1.0,1.0,2.0,35.0,46.0,152.0,30.0,75.0,False
9445,5.0,4.0,6.0,2.0,53.0,61.0,385.0,52.0,74.0,False
9446,11.0,1.0,2.0,2.0,30.0,41.0,114.0,31.0,53.0,False
