game1_passaccuracy,game2_passaccuracy,game1_duelaccuracy,game2_duelaccuracy,mean_passaccuracy,mean_duelaccuracy,games injured,label
0.8928571428571429,0.9154929577464788,0.3636363636363637,0.625,0.8610301263362488,0.49025069637883006,0,False
0.9154929577464788,0.8762886597938144,0.625,0.5,0.8610301263362488,0.49025069637883006,0,False
0.8762886597938144,0.9056603773584906,0.5,0.625,0.8610301263362488,0.49025069637883006,0,False
0.9056603773584906,,0.625,,0.8610301263362488,0.49025069637883006,0,False
,0.90625,,0.4,0.8610301263362488,0.49025069637883006,0,False
0.90625,,0.4,,0.8610301263362488,0.49025069637883006,0,False
,0.5,,0.0,0.8610301263362488,0.49025069637883006,0,False
0.5,0.68,0.0,0.28,0.8610301263362488,0.49025069637883006,0,False
0.68,,0.28,,0.8610301263362488,0.49025069637883006,0,False
,0.875,,0.4,0.8610301263362488,0.49025069637883006,0,False
