,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
5662,90,2,0,88,7,1,2,3,0.0,0.0,0.2,6,0,53,79,67.1,432,60,189,0,2
5663,90,1,0,68,20,1,0,2,0.0,0.0,0.0,1,0,38,56,67.9,412,28,35,0,1
5664,90,0,0,45,7,1,5,3,0.0,0.0,0.2,2,0,18,33,54.5,301,16,26,0,0
5665,90,1,0,70,21,4,2,5,0.0,0.0,0.1,1,0,38,57,66.7,299,37,105,0,0
5666,90,0,0,47,15,2,1,4,0.0,0.0,0.0,3,0,17,34,50.0,274,17,24,0,0
5667,90,1,1,87,6,2,1,3,0.0,0.0,0.2,6,0,53,78,67.9,532,46,62,1,1
5668,90,0,0,48,24,3,1,0,0.0,0.0,0.1,1,0,22,43,51.2,194,18,60,0,0
5669,90,0,0,58,17,2,1,2,0.0,0.0,0.0,3,1,30,50,60.0,281,23,38,0,0
5670,90,0,0,71,12,5,2,1,0.0,0.0,0.5,5,0,41,63,65.1,423,33,25,0,0
5671,90,0,0,62,22,5,3,4,0.0,0.0,0.1,1,0,34,51,66.7,481,24,41,0,0
5672,90,0,0,54,22,2,0,1,0.0,0.0,0.0,1,0,27,46,58.7,310,29,63,0,0
5673,90,0,0,73,6,3,3,3,0.0,0.0,0.1,3,0,46,66,69.7,591,45,141,1,1
5674,90,0,0,58,13,2,5,2,0.0,0.0,0.2,4,0,40,49,81.6,347,34,53,0,1
5675,90,2,0,72,9,4,3,1,0.1,0.1,0.2,3,0,46,63,73.0,523,43,117,0,2
5676,90,2,0,46,24,2,0,1,0.1,0.1,0.0,0,0,28,39,71.8,182,31,52,0,0
5677,90,1,0,92,12,6,1,4,0.0,0.0,0.3,4,0,55,78,70.5,577,59,111,3,3
5678,90,0,0,61,13,4,1,2,0.0,0.0,0.0,0,0,32,51,62.7,379,35,87,4,4
5679,90,1,1,51,21,1,1,4,0.1,0.1,0.0,1,1,34,42,81.0,366,28,48,0,0
5680,90,1,1,71,14,0,2,1,0.0,0.0,0.2,2,0,47,65,72.3,459,51,136,0,0
5681,90,0,0,47,3,1,1,3,0.0,0.0,0.2,2,1,31,41,75.6,288,25,32,0,0
5682,90,0,0,64,16,2,1,2,0.0,0.0,0.0,0,0,33,52,63.5,180,41,180,0,2
5683,90,1,0,42,20,0,1,1,0.0,0.0,0.0,2,0,26,34,76.5,158,21,53,1,2
5684,67,0,0,27,14,2,1,2,0.0,0.0,0.0,1,0,20,25,80.0,60,16,35,0,0
5685,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
5686,90,0,0,42,18,0,2,5,0.0,0.0,0.0,2,0,20,32,62.5,84,22,65,2,3
5687,78,0,0,23,23,0,0,4,0.0,0.0,0.0,0,0,14,18,77.8,55,15,22,1,1
5688,90,2,1,40,21,3,1,1,0.1,0.1,0.0,0,0,18,28,64.3,80,23,45,2,3
5689,90,5,0,68,14,2,1,1,0.3,0.3,0.1,3,0,36,52,69.2,187,45,188,3,3
5690,90,2,1,46,14,1,2,1,0.1,0.1,0.0,2,1,23,34,67.6,121,26,92,2,4
5691,90,1,0,58,20,4,7,1,0.1,0.1,0.0,2,1,32,43,74.4,264,33,66,3,5
5692,90,0,0,53,11,7,3,5,0.0,0.0,0.1,1,0,30,40,75.0,131,24,88,0,0
5693,90,1,1,73,8,0,2,2,0.1,0.1,0.1,7,1,46,59,78.0,379,51,175,1,1
5694,90,3,2,57,15,2,0,0,0.1,0.1,0.2,4,0,28,44,63.6,248,37,68,0,0
5695,90,0,0,64,18,2,3,1,0.0,0.0,0.1,3,0,40,54,74.1,278,47,155,4,5
5696,90,0,0,54,16,1,3,5,0.0,0.0,0.0,1,0,30,42,71.4,81,38,67,1,1
5697,90,0,0,45,19,4,0,5,0.0,0.0,0.0,0,0,19,32,59.4,137,22,35,0,0
5698,58,0,0,41,23,4,1,0,0.0,0.0,0.0,1,1,21,30,70.0,109,17,25,0,1
5699,65,0,0,39,40,5,3,4,0.0,0.0,0.0,1,0,18,24,75.0,81,20,56,0,0
5700,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
