0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Lorenzo Pellegrini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Red card suspension,0,0,0,0,0, Calf Problems,0,0,0,0,0,0,0,0
Ali Adnan,not in squad,not in squad,0,0,0,0,0,0,0,0,0, Muscle Injury,0,0,0,0,0,0,0, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxwell Acosty,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomás Rincón,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0
Alex Meret, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury
Alfred Gomis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattia Destro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Calf Problems,0, Knee Problems, Knee Problems,not in squad,0,0, Bruised Knee
Rolando Aarons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0
Marco Capuano,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Indirect card suspension,0,0,0,0, Yellow card suspension,0,0,0,0,0,0
Alex Sandro,0,0, Flu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0, Hamstring Injury,0,0,0,0,0,0,0,0
Gianluca Mancini,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0
Domenico Coppola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Gamberini,0,0,0,0,0,0,0,0,0,0,0,0, Muscle Injury,0,0,0,0,0, Muscle Injury, Muscle Injury,not in squad,0,0,0,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,not in squad
Valerio Verre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0
Martin Erlic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emanuel Ercolano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcello Trotta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francesco Migliore,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0, Calf Problems, Calf Problems, Calf Problems, Calf Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad, Muscle Fatigue,not in squad
Goran Pandev,0,0,0, Muscle Fatigue,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Red card suspension,0
Karlo Butic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giampaolo Pazzini,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Muscle Injury,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlo Pinsoglio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad, Hand Injury,not in squad,not in squad,0,0,0,0,0,0,0,0,0
Giacomo Bonaventura, Muscular problems, Muscular problems,0,0,0,0,0,0,0,not in squad, Muscle Injury, Muscle Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
